osmId,osmName,osmNameKo,osmNameEn,building,sourceUrl,reviewStatus,matchedOfficialCode,matchedCatalogName,notes
way/928753180,현대모비스 기아부품대리점,,,commercial,https://www.openstreetmap.org/way/928753180,unreviewed,,,
way/928753184,감나무식당,,,yes,https://www.openstreetmap.org/way/928753184,unreviewed,,,
way/928753185,갑제동회관,,,yes,https://www.openstreetmap.org/way/928753185,unreviewed,,,
way/928753188,의인정사,,,yes,https://www.openstreetmap.org/way/928753188,estimated,G43,WHNJEONGSA,Auto-filled from a unique normalized exact Korean or English name match.
way/928753190,,,,yes,https://www.openstreetmap.org/way/928753190,unreviewed,,,
way/928753191,,,,yes,https://www.openstreetmap.org/way/928753191,unreviewed,,,
way/928753192,,,,yes,https://www.openstreetmap.org/way/928753192,unreviewed,,,
way/928755748,법학전문도서관,,,school,https://www.openstreetmap.org/way/928755748,estimated,G03,Law School Library,Auto-filled from a unique normalized exact Korean or English name match.
way/928755749,법학전문대학원,,,school,https://www.openstreetmap.org/way/928755749,unreviewed,,,
way/930715256,대자연요양원,,,yes,https://www.openstreetmap.org/way/930715256,unreviewed,,,
way/930715263,카페베네,,,yes,https://www.openstreetmap.org/way/930715263,unreviewed,,,
way/930715264,카페데로토,,,yes,https://www.openstreetmap.org/way/930715264,unreviewed,,,
way/936232575,무극안경&콘택트,,,yes,https://www.openstreetmap.org/way/936232575,unreviewed,,,
way/936232576,,,,commercial,https://www.openstreetmap.org/way/936232576,unreviewed,,,
way/936232577,,,,commercial,https://www.openstreetmap.org/way/936232577,unreviewed,,,
way/936232578,,,,commercial,https://www.openstreetmap.org/way/936232578,unreviewed,,,
way/936232579,,,,commercial,https://www.openstreetmap.org/way/936232579,unreviewed,,,
way/936238752,,,,commercial,https://www.openstreetmap.org/way/936238752,unreviewed,,,
way/936238753,,,,commercial,https://www.openstreetmap.org/way/936238753,unreviewed,,,
way/936238754,,,,commercial,https://www.openstreetmap.org/way/936238754,unreviewed,,,
way/936238755,,,,commercial,https://www.openstreetmap.org/way/936238755,unreviewed,,,
way/936238756,,,,commercial,https://www.openstreetmap.org/way/936238756,unreviewed,,,
way/936238757,,,,commercial,https://www.openstreetmap.org/way/936238757,unreviewed,,,
way/936257478,영남대학교 이희건기념관,,,yes,https://www.openstreetmap.org/way/936257478,estimated,B07,Memorial Gymnasium of Heekun Lee,Auto-filled from a unique normalized exact Korean or English name match.
way/1053823163,체조장,,,yes,https://www.openstreetmap.org/way/1053823163,estimated,E04,Gymnastics Arena,Auto-filled from a unique normalized exact Korean or English name match.
way/1053823164,천마체육관,,,yes,https://www.openstreetmap.org/way/1053823164,estimated,E05,Chunma Arena,Auto-filled from a unique normalized exact Korean or English name match.
way/1053826026,수리실험동,,,yes,https://www.openstreetmap.org/way/1053826026,estimated,E26,Water Research Laboratory Buliding,Auto-filled from a unique normalized exact Korean or English name match.
